"arc_id","flow","traversal_time","active","x1","x2","y1","y2","z1","z2","capacity","initial_node","final_node"
213,0,"00:00:06",True,439,79,727,844,300,0,1000,21,1
214,0,"00:00:05",True,439,139,727,840,300,0,1000,21,2
215,0,"00:00:04",True,439,225,727,846,300,0,1000,21,3
216,0,"00:00:03",True,439,278,727,833,300,0,1000,21,4
217,0,"00:00:02",True,439,373,727,834,300,0,1000,21,5
218,0,"00:00:02",True,439,432,727,845,300,0,1000,21,6
219,0,"00:00:02",True,533,439,839,727,300,0,1000,7,21
220,0,"00:00:04",True,439,656,727,843,300,0,1000,21,8
221,0,"00:00:02",True,784,656,804,843,300,0,1000,22,8
222,0,"00:00:01",True,784,786,804,894,300,0,1000,22,23
223,0,"00:00:01",True,784,875,804,863,300,0,1000,22,24
224,0,"00:00:05",True,784,439,804,727,300,0,1000,22,21
225,0,"00:00:01",True,784,776,804,733,300,0,1000,22,29
226,0,"00:00:01",True,784,704,804,721,300,0,1000,22,27
227,0,"00:00:02",True,784,709,804,692,300,0,1000,22,26
228,0,"00:00:01",True,784,772,804,688,300,0,1000,22,28
229,0,"00:00:03",True,927,784,655,804,300,0,1000,25,22
230,0,"00:00:01",True,439,534,727,679,300,0,1000,21,15
231,0,"00:00:03",True,439,645,727,678,300,0,1000,21,16
232,0,"00:00:01",True,439,416,727,643,300,0,1000,21,12
233,0,"00:00:01",True,439,449,727,643,300,0,1000,21,13
234,0,"00:00:02",True,439,308,727,725,300,0,1000,21,14
235,0,"00:00:02",True,439,330,727,643,300,0,1000,21,11
236,0,"00:00:03",True,439,230,727,661,300,0,1000,21,10
237,0,"00:00:05",True,439,128,727,671,300,0,1000,21,9
238,0,"00:00:04",True,440,439,472,727,300,0,1000,30,21
239,0,"00:00:02",True,790,784,639,804,300,0,1000,20,22
240,0,"00:00:02",True,784,752,804,634,300,0,1000,22,19
241,0,"00:00:03",True,784,722,804,634,300,0,1000,22,18
242,0,"00:00:03",True,784,690,804,636,300,0,1000,22,17
243,0,"00:00:01",True,875,786,863,894,300,0,1000,24,23
244,0,"00:00:06",True,440,128,472,671,300,0,1000,30,9
245,0,"00:00:04",True,440,230,472,661,300,0,1000,30,10
246,0,"00:00:03",True,440,330,472,643,300,0,1000,30,11
247,0,"00:00:03",True,440,534,472,679,300,0,1000,30,15
248,0,"00:00:04",True,440,645,472,678,300,0,1000,30,16
249,0,"00:00:05",True,440,690,472,636,300,0,1000,30,17
250,0,"00:00:05",True,440,722,472,634,300,0,1000,30,18
251,0,"00:00:05",True,440,752,472,634,300,0,1000,30,19
252,0,"00:00:06",True,440,790,472,639,300,0,1000,30,20
253,0,"00:00:06",True,440,144,472,272,300,0,1000,30,31
254,0,"00:00:01",True,379,288,271,292,300,0,1000,55,39
255,0,"00:00:01",True,379,289,271,264,300,0,1000,55,38
256,0,"00:00:58",True,379,299,271,221,300,0,1000,55,37
257,0,"00:00:03",True,440,512,472,250,300,0,1000,30,36
258,0,"00:00:05",True,440,695,472,270,300,0,1000,30,44
259,0,"00:00:05",True,719,440,272,472,300,0,1000,45,30
260,0,"00:00:06",True,440,760,472,271,300,0,1000,30,46
